entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,zone_age_days,formed_time,result,exit_price,exit_time,pnl_pips
2021-07-15 03:00:00+10:00,BUY,Demand,bottom,with,counter,0.91628,0.91432,0.91432,0.91232,0.91832,2.0,20.0,8,1.3,2021-07-13 19:00:00+10:00,LOSS,0.91232,2021-07-15 15:00:00+10:00,-20.0
2021-07-29 15:00:00+10:00,BUY,Demand,bottom,with,counter,0.90914,0.90758,0.90758,0.90558,0.91158,2.0,20.0,180,30.0,2021-06-17 15:00:00+10:00,LOSS,0.90558,2021-07-29 23:00:00+10:00,-20.0
2021-10-12 19:00:00+10:00,SELL,Supply,bottom,with,counter,0.93056,0.92883,0.93056,0.93256,0.92656,2.0,20.0,12,2.0,2021-10-08 19:00:00+10:00,WIN,0.92656,2021-10-13 23:00:00+10:00,40.0
2021-10-19 19:00:00+10:00,BUY,Demand,bottom,with,counter,0.92043,0.91877,0.91877,0.91677,0.92277,2.0,20.0,139,23.2,2021-09-16 15:00:00+10:00,WIN,0.92277,2021-10-19 23:00:00+10:00,40.0
2022-01-27 04:00:00+10:00,SELL,Supply,bottom,with,counter,0.92443,0.92313,0.92443,0.92643,0.92043,2.0,20.0,62,10.3,2022-01-12 20:00:00+10:00,WIN,0.92043,2022-01-27 04:00:00+10:00,40.0
2022-02-11 00:00:00+10:00,BUY,Demand,bottom,with,with,0.9247,0.92303,0.92303,0.92103,0.92703,2.0,20.0,1,0.2,2022-02-10 20:00:00+10:00,WIN,0.92703,2022-02-11 00:00:00+10:00,40.0
2022-06-22 23:00:00+10:00,BUY,Demand,bottom,with,counter,0.96337,0.96054,0.96054,0.95854,0.96454,2.0,20.0,72,12.0,2022-06-06 23:00:00+10:00,LOSS,0.95854,2022-06-22 23:00:00+10:00,-20.0
2022-08-08 23:00:00+10:00,BUY,Demand,bottom,with,counter,0.95744,0.95519,0.95519,0.95319,0.95919,2.0,20.0,7,1.2,2022-08-05 19:00:00+10:00,LOSS,0.95319,2022-08-08 23:00:00+10:00,-20.0
2022-08-12 19:00:00+10:00,SELL,Supply,mid,with,with,0.9445,0.94203,0.94326,0.9465,0.9368,2.0,32.3,3,0.5,2022-08-11 15:00:00+10:00,LOSS,0.9465,2022-08-15 19:00:00+10:00,-32.4
2022-08-31 15:00:00+10:00,SELL,Supply,mid,with,counter,0.97868,0.97602,0.97735,0.98068,0.97069,2.0,33.3,182,30.3,2022-07-19 15:00:00+10:00,LOSS,0.98068,2022-08-31 19:00:00+10:00,-33.3
2022-10-28 15:00:00+10:00,SELL,Supply,mid,with,counter,0.99623,0.99395,0.99509,0.99823,0.98881,2.0,31.4,12,2.0,2022-10-26 15:00:00+10:00,LOSS,0.99823,2022-10-31 07:00:00+10:00,-31.4
2022-11-01 23:00:00+10:00,SELL,Supply,mid,with,counter,1.00207,0.9995,1.00078,1.00407,0.99422,2.0,32.8,2,0.3,2022-11-01 15:00:00+10:00,WIN,0.99422,2022-11-01 23:00:00+10:00,65.6
2022-12-14 00:00:00+10:00,BUY,Demand,bottom,with,counter,0.92668,0.92441,0.92441,0.92241,0.92841,2.0,20.0,1080,180.0,2022-04-05 23:00:00+10:00,WIN,0.92841,2022-12-14 00:00:00+10:00,40.0
2023-01-03 16:00:00+10:00,SELL,Supply,bottom,with,counter,0.93751,0.93392,0.93751,0.93951,0.93351,2.0,20.0,83,13.8,2022-12-13 20:00:00+10:00,WIN,0.93351,2023-01-03 16:00:00+10:00,40.0
2023-01-17 20:00:00+10:00,BUY,Demand,bottom,with,counter,0.92352,0.92046,0.92046,0.91846,0.92446,2.0,20.0,24,4.0,2023-01-11 20:00:00+10:00,WIN,0.92446,2023-01-18 12:00:00+10:00,40.0
2023-02-03 16:00:00+10:00,SELL,Supply,mid,with,with,0.91715,0.91369,0.91542,0.91915,0.90796,2.0,37.3,6,1.0,2023-02-02 04:00:00+10:00,LOSS,0.91915,2023-02-03 20:00:00+10:00,-37.3
2023-05-22 19:00:00+10:00,BUY,Demand,bottom,with,with,0.8966,0.89493,0.89493,0.89293,0.89893,2.0,20.0,19,3.2,2023-05-17 15:00:00+10:00,WIN,0.89893,2023-05-22 23:00:00+10:00,40.0
2023-06-15 15:00:00+10:00,SELL,Supply,mid,with,with,0.90605,0.90377,0.90491,0.90805,0.89863,2.0,31.4,4,0.7,2023-06-14 19:00:00+10:00,WIN,0.89863,2023-06-15 19:00:00+10:00,62.8
2023-06-30 23:00:00+10:00,BUY,Demand,bottom,with,counter,0.89547,0.89358,0.89358,0.89158,0.89758,2.0,20.0,13,2.2,2023-06-28 19:00:00+10:00,WIN,0.89758,2023-06-30 23:00:00+10:00,40.0
2024-01-17 12:00:00+10:00,SELL,Supply,mid,with,counter,0.86327,0.86115,0.86221,0.86527,0.85609,2.0,30.6,95,15.8,2023-12-21 20:00:00+10:00,LOSS,0.86527,2024-01-17 20:00:00+10:00,-30.6
